,Trang,Phần,Nội dung,,,,
,Trang chủ,Danh mục,Trang chủ,Từ điển năng lực,Phỏng vấn thử,FAQ,CV của bạn
,,Giới thiệu,[Chưa nghĩ ra],,,,
,,Danh mục ngành,Marketing,"Brand Executive, Marketing Executive, Digital Marketing Specialist, Performance Marketing Specialist, Trade Marketing Executive, Marketing Manager",,,
,,(Đã có từ điển năng lực cho nghề),Sales / Kinh doanh,"Sales Executive, Account Executive, Business Development Executive, Sales Representative, Key Account Manager, Sales Manager, Regional Sales Manager",,,
,,,Human Resources / Nhân sự,"HR Executive, Talent Acquisition Specialist, C&B Specialist, HRBP, L&D Executive, Employer Branding Specialist, HR Manager",,,
,,,Finance / Kế toán / Kiểm toán,"Accountant, General Accountant, Chief Accountant, Finance Analyst, Internal Auditor, Tax Specialist, Finance Manager, CFO",,,
,,,Information Technology / IT,"Full-stack Developer, Frontend Developer, Backend Developer, Java Developer, DevOps Engineer, System Admin, IT Support, QA Tester",,,
,,,Data / AI / Analytics,"Data Analyst, Business Intelligence Analyst, Data Engineer, Data Scientist, Machine Learning Engineer, AI Engineer",,,
,,,Design / Creative,"Graphic Designer, UI Designer, UX Designer, Product Designer, Art Director, Creative Director, Motion Designer",,,
,,,Content / Media / Truyền thông,"Content Writer, Copywriter, Social Media Executive, PR Executive, Communications Specialist, Editor, Video Producer",,,
,,Bài test nổi bật,[Chọn những bài test đã có câu hỏi hiển thị lên],,,,
,,Tìm kiếm cơ hội,[Liên kết sang các nền tảng tuyển dụng],,,,
,Từ điển năng lực,Danh mục,Ngành,Nghề,,,
,,,Marketing,"Brand Executive, Marketing Executive, Digital Marketing Specialist, Performance Marketing Specialist, Trade Marketing Executive, Marketing Manager",,,
,,,Sales / Kinh doanh,"Sales Executive, Account Executive, Business Development Executive, Sales Representative, Key Account Manager, Sales Manager, Regional Sales Manager",,,
,,,Human Resources / Nhân sự,"HR Executive, Talent Acquisition Specialist, C&B Specialist, HRBP, L&D Executive, Employer Branding Specialist, HR Manager",,,
,,,Finance / Kế toán / Kiểm toán,"Accountant, General Accountant, Chief Accountant, Finance Analyst, Internal Auditor, Tax Specialist, Finance Manager, CFO",,,
,,,Information Technology / IT,"Full-stack Developer, Frontend Developer, Backend Developer, Java Developer, DevOps Engineer, System Admin, IT Support, QA Tester",,,
,,,Data / AI / Analytics,"Data Analyst, Business Intelligence Analyst, Data Engineer, Data Scientist, Machine Learning Engineer, AI Engineer",,,
,,,Design / Creative,"Graphic Designer, UI Designer, UX Designer, Product Designer, Art Director, Creative Director, Motion Designer",,,
,,,Content / Media / Truyền thông,"Content Writer, Copywriter, Social Media Executive, PR Executive, Communications Specialist, Editor, Video Producer",,,
,,Giới thiệu khóa học nâng cao năng lực,,,,,
,Phỏng vấn thử,Test thử đầu vào,EQ / IQ,,,,
,,Test thử chuyên môn,,,,,
,,Phỏng vấn AI,,,,,
,FAQ,,,,,,
,CV của bạn,Phân tích CV của ứng viên bằng AI,Khớp với khung năng lực,,,,
